ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
AMAT,Applied Materials,6951,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amat.yaml,2026-06-03T10:44:41Z,2026-04-26,,0,
APP,AppLovin,1751008,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/app.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
APTV,Aptiv,1521332,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aptv.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ADM,Archer Daniels Midland,7084,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/adm.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ANET,Arista Networks,1596532,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/anet.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
T,AT&T,732717,Communication Services,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/t.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ATO,Atmos Energy,731802,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ato.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ADSK,Autodesk,769397,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/adsk.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
ADP,Automatic Data Processing,8670,Industrials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/adp.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AZO,AutoZone,866787,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/azo.yaml,2026-06-03T10:44:41Z,2026-02-14,,0,
AVY,Avery Dennison,8818,Materials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/avy.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AXON,Axon Enterprise,1069183,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/axon.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BKR,Baker Hughes,1701605,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bkr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BALL,Ball Corporation,9389,Materials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ball.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BAX,Baxter International,10456,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bax.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BDX,Becton Dickinson,10795,Health Care,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bdx.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BBY,Best Buy,764478,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bby.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
TECH,Bio-Techne,842023,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/tech.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BIIB,Biogen,875045,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/biib.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BA,Boeing,12927,industrials,active,active_fx_commodity_hedger,profiles/boeing.yaml,2026-06-03T10:44:41Z,,,0,
BKNG,Booking Holdings,1075531,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bkng.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BSX,Boston Scientific,885725,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bsx.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BMY,Bristol Myers Squibb,14272,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bmy.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AVGO,Broadcom,1730168,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/avgo.yaml,2026-06-03T10:44:41Z,2026-02-01,,0,
BR,Broadridge Financial Solutions,1383312,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/br.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BF.B,Brown–Forman,14693,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bf.b.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
BLDR,Builders FirstSource,1316835,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bldr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
BG,Bunge Global,1996862,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bg.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CHRW,C.H. Robinson,1043277,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/chrw.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CDNS,Cadence Design Systems,813672,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cdns.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CPB,Campbell's Company (The),16732,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cpb.yaml,2026-06-03T10:44:41Z,2026-02-01,,0,
CAH,Cardinal Health,721371,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cah.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
